strength_config,regime,top8_title_share,ladder,knockout_ladder,w_pts,d_pts,mix,teams_per_drafter,policy,n_eval_tournaments,n_draws,spearman_mean,spearman_sd,spearman_cluster_se,spearman_undefined_frac,skill_variance_share,sigma2_between,sigma2_within,top_tie_rate,top_tie_rate_cluster_se,winning_score_mean,winning_score_sd,winning_score_p05,winning_score_p95,slot_win_prob_spread,slot_win_prob_spread_cluster_se,slot_imbalance_index,champion_undrafted_rate,p_champion_holder_wins,group_variance_share,group_variance_share_cluster_se,alive_fraction,alive_fraction_cluster_se,pool_suspense,pool_suspense_cluster_se,pool_suspense_group_share,pool_suspense_group_share_cluster_se,pool_surprise,pool_surprise_cluster_se,pool_surprise_group_share,pool_surprise_group_share_cluster_se,br_slot,slot1_win_prob,slot2_win_prob,slot3_win_prob,slot4_win_prob,slot5_win_prob,slot6_win_prob,slot7_win_prob,slot8_win_prob,gamma_target,gamma_realised,is_gamma_match,gamma_match_value,group_purse,knockout_purse,delta_skill_vs_anchor,delta_skill_paired_se
elo_2026,resampled,0.9140400000000001,linear,linear,2.0,1.0,0.14285714285714285,6,ev_greedy,200000,100,0.19554718010884387,0.36257155609588687,0.004265282339940684,0.0,0.05043047260301207,0.2753159000382577,5.1840003789413265,0.01513,0.0002472699420520502,13.043932142857143,1.3284885794012267,11.142857142857144,15.42857142857143,0.14158625000000002,0.0032426700804261627,0.15028771266666668,0.0,0.44261125,0.03426959041675705,0.0001446991193777472,0.9999825,3.212782236156925e-06,0.8980396449565888,0.0021756527119915583,0.09246443764272366,0.0006439814125555536,0.8980396449565888,0.0021756527119915583,0.09246443764272366,0.0006439814125555536,-1,0.22419125,0.17294333333333337,0.1478870833333333,0.10659541666666668,0.09110541666666666,0.08848833333333332,0.08618416666666667,0.082605,-1.0,0.2758620689655172,True,0.2758620689655172,144.0,63.0,-0.01582687375714429,0.0011847168848386708
elo_2026,resampled,0.9140400000000001,linear,linear,1.0,0.0,0.05425374296961284,6,ev_greedy,200000,100,0.2055435252024745,0.36125358540743757,0.0041506734482398815,0.0,0.056093951132013174,0.31999607218929205,5.384648826798189,0.022365,0.00035045821376586335,11.683732816150606,1.394602506056927,9.837238771091162,14.511716313273485,0.1538675,0.003145530443420093,0.1739994962,0.0,0.46338708333333334,0.001616596547861024,6.506441816818408e-06,0.9999856249999999,3.185029494178439e-06,0.8726222021049924,0.0017892591179185884,0.08258545409934884,0.0005139945978495599,0.8726222021049924,0.0017892591179185884,0.08258545409934884,0.0005139945978495599,-1,0.23378916666666663,0.17540083333333337,0.14658833333333332,0.10455,0.09033666666666666,0.0869025,0.08251083333333332,0.07992166666666665,0.05,0.05000000000000001,False,0.2341993975635452,57.800537109375,63.0,-0.005830528663513655,0.0007056417129597312
elo_2026,resampled,0.9140400000000001,linear,linear,1.0,0.0,0.12939783033182864,6,ev_greedy,200000,100,0.205845154926961,0.3614829597356555,0.0041551394449016645,0.0,0.055399480224998285,0.2828193140411963,4.822270352731125,0.021485,0.00031329585526989164,11.41908408863206,1.3022342552543729,9.611806509004515,13.835419527013542,0.15517375,0.0030398174813408316,0.17822069455277775,0.0,0.4667566666666667,0.01024847355079698,3.94969805701511e-05,0.99998125,3.4973835819347748e-06,0.8823681320084467,0.0019116134733616146,0.08320301716621342,0.0005670715782864067,0.8823681320084467,0.0019116134733616146,0.08320301716621342,0.0005670715782864067,-1,0.2346808333333333,0.1764025,0.14731625,0.10421458333333332,0.09000875,0.08602958333333333,0.08184041666666667,0.07950708333333333,0.12,0.11999999999999998,False,0.2341993975635452,57.800537109375,63.0,-0.005528898939027143,0.0007571553929525099
elo_2026,resampled,0.9140400000000001,linear,linear,1.0,0.0,0.2664956454656145,6,ev_greedy,200000,100,0.19988343933497812,0.36245472453434197,0.004357531856107207,0.0,0.052923768922182333,0.22088250816659374,3.9527149635360233,0.030695,0.0004364049065079843,10.938113402299493,1.1573746023382774,9.266495645465614,13.134530481740699,0.14486875,0.003190399173382836,0.15582228671388892,0.0,0.43556416666666664,0.052944244478337746,0.000167626499729855,0.999984375,2.9960780340060475e-06,0.8424300820297665,0.0018327443836472293,0.0980399285953994,0.0007111483154246454,0.8424300820297665,0.0018327443836472293,0.0980399285953994,0.0007111483154246454,-1,0.22664375,0.17348333333333335,0.14681166666666667,0.10734,0.09200083333333332,0.08746791666666667,0.0844775,0.081775,0.25,0.24999999999999994,False,0.2341993975635452,57.800537109375,63.0,-0.011490614531010026,0.0013256841606466678
elo_2026,resampled,0.9140400000000001,linear,linear,1.0,0.0,0.5215208599855699,6,ev_greedy,200000,100,0.17105218214475462,0.3673969339729516,0.004502852248786316,0.0,0.0415888301280422,0.12637538979758167,2.912310464276737,0.030595,0.0004384715763106238,10.201072579774817,0.9629046796719881,8.913916560057721,11.956958280028859,0.11227041666666666,0.003200952746425427,0.09338160647222221,0.0,0.3426145833333333,0.2762370020437498,0.0006459313496422166,0.9984412500000002,4.142753348080266e-05,0.8070264651377996,0.0018913328012042825,0.16200473465084003,0.0010726715956727833,0.8070264651377996,0.0018913328012042825,0.16200473465084003,0.0010726715956727833,-1,0.20386833333333332,0.16133916666666667,0.14361541666666666,0.1099725,0.09940541666666668,0.09575833333333333,0.09444291666666665,0.09159791666666665,0.5,0.49999999999999994,False,0.2341993975635452,57.800537109375,63.0,-0.04032187172123351,0.00253062722249768
elo_2026,resampled,0.9140400000000001,linear,linear,1.0,0.0,0.25,6,ev_greedy,200000,100,0.20188919885417497,0.36212019484311997,0.00433983597337911,0.0,0.05325563029733353,0.22786680000244142,4.050869527597657,0.071005,0.0007140188931659859,10.99493,1.1741270353330597,9.25,13.25,0.1475865,0.0032590933701888425,0.16099631971800002,0.0,0.4438135000000001,0.0454882132438883,0.0001469443253655127,0.9999837500000001,2.8949407279208617e-06,0.8139380676878821,0.0018923764969141135,0.09613020960396104,0.0006531272482710624,0.8139380676878821,0.0018923764969141135,0.09613020960396104,0.0006531272482710624,-1,0.22848058333333335,0.1741235,0.14707641666666665,0.10679616666666666,0.0917275,0.08682658333333333,0.08407516666666666,0.08089408333333332,-1.0,0.2341993975635452,True,0.2341993975635452,57.800537109375,63.0,-0.009484855011813186,0.001231119691742628
elo_2026,resampled,0.9140400000000001,triangular,triangular,1.0,0.0,0.0,6,ev_greedy,200000,100,0.28328189555987243,0.35062501533791274,0.004251787329389162,0.0,0.10806752623127841,6.642880755624999,54.82684088312501,0.049115,0.00045515315437706676,29.2121,4.441712911704222,24.0,38.0,0.28320708333333333,0.0030161532162866263,0.5788670593388888,0.0,0.81362375,0.0,0.0,1.0,0.0,0.8700671421156989,0.002219043600767073,0.0,0.0,0.8700671421156989,0.002219043600767073,0.0,0.0,-1,0.33223041666666664,0.20931375,0.15594625,0.07946458333333332,0.062161666666666664,0.0583325,0.0535275,0.04902333333333333,0.0,0.0,False,0.13834481283647448,57.800537109375,120.0,0.0,0.0
elo_2026,resampled,0.9140400000000001,triangular,triangular,3.0,1.0,0.030347400309141914,6,ev_greedy,200000,100,0.28101698364597444,0.35083810563919154,0.004251750528069527,0.0,0.10779739854774201,6.284175456631221,52.011994407320046,0.001165,6.706509727665556e-05,29.128089826582315,4.342408692603754,23.84826299845429,37.696525996908576,0.2807725,0.003018219130078484,0.5681781647999999,0.0,0.8054375,0.0003610172224786814,2.1352794399228163e-06,0.999981875,4.0019526483954595e-06,0.9836237323284149,0.0024431950863909417,0.052182431263914364,0.0003454106409624167,0.9836237323284149,0.0024431950863909417,0.052182431263914364,0.0003454106409624167,-1,0.33013,0.2085975,0.1560325,0.07991,0.0627575,0.058645,0.05457,0.0493575,0.05,0.05,False,0.15743521028978594,201.800537109375,120.0,-0.00226491191389798,0.00039116080763402887
elo_2026,resampled,0.9140400000000001,triangular,triangular,3.0,1.0,0.07500606585920797,6,ev_greedy,200000,100,0.2812665602490698,0.3511247439211301,0.004259260151671378,0.0,0.10732804100141889,5.773558521564777,48.02001180446447,0.00098,6.232855272544426e-05,28.99455707541656,4.178525820583874,23.699975736563164,37.17493327554871,0.2784625,0.003038988349664069,0.5619809988,0.0,0.80091,0.0023810679146406876,1.2917447575423008e-05,0.9999862500000001,3.1507775214848764e-06,0.9717053401470185,0.0022376334324382525,0.05318713474596462,0.0003489240157405631,0.9717053401470185,0.0022376334324382525,0.05318713474596462,0.0003489240157405631,-1,0.3289225,0.208295,0.1556175,0.0814275,0.0626875,0.05846,0.05413,0.05046,0.12,0.11999999999999998,False,0.15743521028978594,201.800537109375,120.0,-0.0020153353108026072,0.0005237140733904012
elo_2026,resampled,0.9140400000000001,triangular,triangular,3.0,1.0,0.1654256044183499,6,ev_greedy,200000,100,0.27934862761921664,0.3515612162569709,0.004357448287449636,0.0,0.10546839829046518,4.80308486829722,40.73742722964217,0.001035,7.825592564777379e-05,28.76165720735752,3.8745083440270496,23.669148791163302,36.330851208836705,0.273795,0.0030753569534956657,0.5407404463,0.0,0.782,0.013679921673886021,7.309384422887543e-05,0.9999856250000001,2.7887252708643595e-06,0.9916334033012391,0.002238621812372242,0.05373669881402744,0.00033870067543825686,0.9916334033012391,0.002238621812372242,0.05373669881402744,0.00033870067543825686,-1,0.325015,0.20629,0.1554225,0.0833,0.0637025,0.059455,0.055595,0.05122,0.25,0.25,False,0.15743521028978594,201.800537109375,120.0,-0.003933267940655768,0.0009132650998547499
