strength_config,regime,top8_title_share,ladder,knockout_ladder,w_pts,d_pts,mix,teams_per_drafter,policy,n_eval_tournaments,n_draws,spearman_mean,spearman_sd,spearman_cluster_se,spearman_undefined_frac,skill_variance_share,sigma2_between,sigma2_within,top_tie_rate,top_tie_rate_cluster_se,winning_score_mean,winning_score_sd,winning_score_p05,winning_score_p95,slot_win_prob_spread,slot_win_prob_spread_cluster_se,slot_imbalance_index,champion_undrafted_rate,p_champion_holder_wins,group_variance_share,group_variance_share_cluster_se,alive_fraction,alive_fraction_cluster_se,pool_suspense,pool_suspense_cluster_se,pool_suspense_group_share,pool_suspense_group_share_cluster_se,pool_surprise,pool_surprise_cluster_se,pool_surprise_group_share,pool_surprise_group_share_cluster_se,br_slot,slot1_win_prob,slot2_win_prob,slot3_win_prob,slot4_win_prob,slot5_win_prob,slot6_win_prob,slot7_win_prob,slot8_win_prob,gamma_target,gamma_realised,is_gamma_match,gamma_match_value,group_purse,knockout_purse
synthetic_x0.5,resampled,0.7208399999999999,triangular,triangular,2.0,1.0,0.45454545454545453,6,ev_greedy,50000,25,0.1926411573121567,0.3619325973163001,0.0038301151843763053,0.0,0.06611669708249007,1.8862559396487373,26.642935972272724,0.00362,0.0002046948949045872,25.75268363636363,3.3048594180845994,21.27272727272727,31.909090909090907,0.22873666666666664,0.0028615560064024228,0.34904551466666656,0.0,0.6813366666666666,0.08047015161312011,0.000706443948445261,0.9998600000000001,1.9525624189767185e-05,0.8108246517181397,0.0035309996682245702,0.08457852766123358,0.0012871841325473564,0.8108246517181397,0.0035309996682245702,0.08457852766123358,0.0012871841325473564,-1,0.31204666666666664,0.14695666666666668,0.11713,0.08492,0.08331,0.08454,0.08383666666666666,0.08726,0.5,0.5,False,0.16666666666666666,144.0,120.0
synthetic_x0.5,resampled,0.7208399999999999,triangular,triangular,2.0,1.0,0.14285714285714285,6,ev_greedy,50000,25,0.19781827874115782,0.36147722125279974,0.003444686825467285,0.0,0.07249129923360453,4.194525867500013,53.66794744785714,0.00294,0.00023508863576673938,29.298897142857147,4.692129242094943,23.142857142857142,38.285714285714285,0.25137,0.0027128582712703598,0.41926781439999994,0.0,0.75557,0.0039291584989646225,4.396107883960978e-05,0.9998725,2.486421457972785e-05,0.9145465898513794,0.0031636584455276328,0.061590533555045894,0.0007172958955020276,0.9145465898513794,0.0031636584455276328,0.061590533555045894,0.0007172958955020276,-1,0.33085,0.148,0.11201,0.08072,0.07948,0.08198,0.08187,0.08509,-1.0,0.16666666666666666,True,0.16666666666666666,144.0,120.0
synthetic_x0.5,resampled,0.7208399999999999,triangular,triangular,1.0,0.0,0.6848276784520041,6,ev_greedy,50000,25,0.19214656757086623,0.3614259175620822,0.0034452912259250587,0.0,0.06584824440595814,0.7203843065095582,10.219684225437145,0.00446,0.00035227829907617076,15.147509787328904,2.0411369670522594,12.303446430959918,18.976548218823844,0.22304,0.002851560976026991,0.32956182079999996,0.0,0.64315,0.15947177281819702,0.0007325692008042,0.9995275000000001,3.02076149339841e-05,0.775056381225586,0.003498698385205212,0.09536400853151081,0.001433489424477552,0.775056381225586,0.003498698385205212,0.09536400853151081,0.001433489424477552,-1,0.30677,0.14678,0.11634,0.08651,0.08566,0.08635,0.08373,0.08786,0.5,0.5,False,0.13300344315038853,55.2265625,120.0
synthetic_x0.5,resampled,0.7208399999999999,triangular,triangular,1.0,0.0,0.25,6,ev_greedy,50000,25,0.19910835849957767,0.36078952982160717,0.003416912495983758,0.0,0.07348448452349798,3.2655839273925773,41.17351023742188,0.0161,0.0005575242894559244,25.1289,4.101577414849072,19.75,33.0,0.25306000000000006,0.002942969022376325,0.4283324135111113,0.0,0.7575366666666665,0.00527589178577471,3.0436596726483572e-05,0.9998725,2.2958295523261918e-05,0.9063993072509766,0.0036363802158711303,0.05988451103646875,0.0007457737623087224,0.9063993072509766,0.0036363802158711303,0.05988451103646875,0.0007457737623087224,-1,0.3331066666666667,0.14828333333333332,0.11146666666666666,0.08034333333333334,0.08004666666666667,0.08114333333333335,0.08072666666666665,0.08488333333333332,-1.0,0.13300344315038853,True,0.13300344315038853,55.2265625,120.0
synthetic_x0.5,resampled,0.7208399999999999,geometric,geometric,1.0,0.0,0.0,6,ev_greedy,50000,25,0.2057667484516558,0.3623866543166514,0.003201853510155295,0.0,0.09871736634274593,12.575778365000001,114.8159747875,0.00092,0.00014047538337136985,39.31708,5.068796728376469,34.0,51.0,0.32595999999999997,0.0025430870348194267,0.6983321392,0.0,0.9986,0.0,0.0,1.0,0.0,0.9425112199783325,0.003478025028066988,0.0,0.0,0.9425112199783325,0.003478025028066988,0.0,0.0,-1,0.39275,0.14807,0.10467,0.06679,0.07084,0.07259,0.07237,0.07192,0.0,0.0,False,0.14116260958124488,55.2265625,112.0
synthetic_x0.5,resampled,0.7208399999999999,geometric,geometric,3.0,1.0,0.3598664558074152,6,ev_greedy,50000,25,0.2029803030549224,0.36278385055567286,0.0039451688379600605,0.0,0.09495076669135649,5.717935668698947,54.502069581869065,4e-05,2.7688746209726917e-05,34.4129881532244,4.088363025922955,28.882270251273948,42.44280442804428,0.32268,0.0023817483074414056,0.6888686400000001,0.0,0.98015,0.057305741870120636,0.0004909444232286918,0.999855,2.1262251370290225e-05,0.9214920711517334,0.004132492322064965,0.05232563365089018,0.0007032902479005081,0.9214920711517334,0.004132492322064965,0.05232563365089018,0.0007032902479005081,-1,0.39127,0.14593,0.10616,0.06859,0.07139,0.07278,0.07092,0.07296,0.5,0.5,False,0.16502831257078146,199.2265625,112.0
synthetic_x0.5,resampled,0.7208399999999999,geometric,geometric,3.0,1.0,0.1,6,ev_greedy,50000,25,0.2056187772324535,0.36172220989072806,0.003307128452548884,0.0,0.0988528179628615,10.405742925282897,94.85926761991252,0.00014,5.41602560309064e-05,37.944352,4.724784365460079,32.6,48.5,0.32583,0.002411088965592104,0.6998307264,0.0,0.99763,0.00253244447237407,2.2919561631221688e-05,0.9998349999999999,2.6487025125521495e-05,0.9998425865173339,0.0038387988862823817,0.048028338710752065,0.0005515792636778526,0.9998425865173339,0.0038387988862823817,0.048028338710752065,0.0005515792636778526,-1,0.39315,0.14744,0.10508,0.06732,0.07021,0.07245,0.07102,0.07333,-1.0,0.16502831257078146,True,0.16502831257078146,199.2265625,112.0
synthetic_x0.5,resampled,0.7208399999999999,geometric,geometric,2.0,1.0,0.4375,6,ev_greedy,50000,25,0.20129418753370243,0.3631081202491804,0.00414735510737761,0.0,0.09441462809224069,4.310359386689452,41.34315293216797,0.0006,0.0001,30.20374,3.513834201218094,25.5,37.1875,0.32292,0.002464171598461978,0.6904330144,0.0,0.98377,0.04781339229347605,0.0004334829672227568,0.9998349999999999,2.6240077489725712e-05,0.9295166492462158,0.0037997216410353037,0.0523054512999872,0.0007183535499154163,0.9295166492462158,0.0037997216410353037,0.0523054512999872,0.0007183535499154163,-1,0.3915,0.14669,0.10521,0.06858,0.07087,0.07292,0.0716,0.07263,0.5,0.5,False,0.1764705882352941,144.0,112.0
synthetic_x0.5,resampled,0.7208399999999999,geometric,geometric,2.0,1.0,0.14285714285714285,6,ev_greedy,50000,25,0.20548467294027453,0.3616977507110966,0.0032314470290157695,0.0,0.0985547575726266,9.403871914183663,86.01386484250001,0.00014,6.137317546507323e-05,36.326371428571434,4.497161469465933,31.285714285714285,46.42857142857143,0.32591000000000003,0.002468099808894824,0.6999081216000002,0.0,0.99753,0.002436816739336895,2.225394863466051e-05,0.9998400000000001,2.4227652933511315e-05,1.0007601737976075,0.0036633839800960222,0.048827634258907154,0.0005401505047548164,1.0007601737976075,0.0036633839800960222,0.048827634258907154,0.0005401505047548164,-1,0.39316,0.14745,0.1051,0.06725,0.07017,0.07256,0.07111,0.0732,-1.0,0.1764705882352941,True,0.1764705882352941,144.0,112.0
synthetic_x0.5,resampled,0.7208399999999999,geometric,geometric,1.0,0.0,0.6697500583975706,6,ev_greedy,50000,25,0.2050626677897409,0.3618032002825103,0.003468485592102164,0.0,0.09460415820218251,1.6180599606982753,15.485416159666872,6e-05,3.3166247903554e-05,17.819466706844196,2.288266080749068,14.577248306470452,22.20074748890446,0.31750999999999996,0.0025853707019819557,0.6711361760000001,0.0,0.96253,0.10069348158793298,0.00049390925854873,0.9998325,2.4130720392617793e-05,0.8996313858032227,0.004049934822181281,0.05383618050723954,0.0008292741217799281,0.8996313858032227,0.004049934822181281,0.05383618050723954,0.0008292741217799281,-1,0.38775,0.14616,0.10594,0.07047,0.07024,0.07389,0.07134,0.07421,0.5,0.4999999999999999,False,0.14116260958124488,55.2265625,112.0
synthetic_x0.5,resampled,0.7208399999999999,geometric,geometric,1.0,0.0,0.25,6,ev_greedy,50000,25,0.20690527354289803,0.36148460802192556,0.003012469263855774,0.0,0.09945174404212548,7.27892674926758,65.91161223398437,0.00038,8.79393730551528e-05,31.276655,3.9364277284074456,26.75,40.0,0.32525,0.002565568488009368,0.6991434672,0.0,0.99773,0.0032747096278823236,1.7766080435621555e-05,0.9998600000000002,2.3739032555407674e-05,1.0043564128875733,0.00444794809429065,0.04852609564013137,0.0006134233659401184,1.0043564128875733,0.00444794809429065,0.04852609564013137,0.0006134233659401184,-1,0.39302,0.14765,0.10463,0.06777,0.07017,0.07214,0.07131,0.07331,-1.0,0.14116260958124488,True,0.14116260958124488,55.2265625,112.0
synthetic_x1,resampled,0.94074,linear,linear,1.0,0.0,0.0,6,ev_greedy,50000,25,0.29779097501977086,0.33415290702896533,0.006364901888131863,0.0,0.14971117312027207,0.9197976649999999,5.2240167600000005,0.20842,0.002602351500726474,11.9031,1.4657934336051583,10.0,15.0,0.32677433333333333,0.005903407149453797,0.709179097982984,0.0,0.5058518571428571,0.0,0.0,1.0,0.0,0.6298428780820635,0.00451097505694086,0.0,0.0,0.6298428780820635,0.00451097505694086,0.0,0.0,-1,0.39192519047619045,0.15911619047619047,0.10520785714285713,0.06956085714285713,0.068897,0.06843752380952381,0.06515085714285714,0.0717045238095238,0.0,0.0,False,0.2374648353466821,58.857421875,63.0
synthetic_x1,resampled,0.94074,linear,linear,3.0,1.0,0.2369691226059551,6,ev_greedy,50000,25,0.2597945888860997,0.34969813556853313,0.00664366093748686,0.0,0.11285644943878918,0.692818468322287,5.446117071184086,0.0065,0.00028431203515386636,15.906477266656381,1.3743819547353648,13.976351574725056,18.450289819936966,0.26996666666666663,0.007099352800444924,0.4850807651555554,0.0,0.42391,0.1934374058748749,0.0010489704110066699,0.9995449999999999,3.6178089593931915e-05,0.7690169763565063,0.004875594527117799,0.14184689104898512,0.0027927560506930153,0.7690169763565063,0.004875594527117799,0.14184689104898512,0.0027927560506930153,-1,0.3435733333333333,0.16213333333333332,0.10386666666666666,0.07762666666666666,0.07360666666666667,0.07862,0.08004666666666665,0.08052666666666666,0.5,0.5000000000000001,False,0.26349998858351914,202.857421875,63.0
