strength_config,regime,top8_title_share,ladder,teams_per_drafter,policy,n_eval_tournaments,spearman_mean,spearman_sd,spearman_undefined_frac,skill_variance_share,sigma2_between,sigma2_within,top_tie_rate,winning_score_mean,winning_score_sd,winning_score_p05,winning_score_p95,slot_win_prob_spread,slot_chi2_uniform,champion_undrafted_rate,p_champion_holder_wins,br_slot,slot1_win_prob,slot2_win_prob,slot3_win_prob,slot4_win_prob,slot5_win_prob,slot6_win_prob
elo_2026,resampled,0.9130799999999999,triangular,6,variance,50000,0.22375277649001768,0.4354435421078595,0.0,0.06327804644707262,4.706817455833334,70.21247348499999,0.05158,32.63444,5.10996730776235,26.0,42.0,0.20894666666666667,0.20291899493333335,4e-05,0.749769990799632,-1,0.30739,0.21388666666666664,0.16631,0.10907,0.09844333333333333,0.1049
elo_2026,resampled,0.9130799999999999,triangular,8,ev_greedy,50000,0.21836971793247817,0.4291126913203951,0.0,0.0629319029250409,4.763336013333333,71.18544842,0.05064,33.59784,5.14739422760682,27.0,43.0,0.2207966666666666,0.2227764924666666,0.0,0.748015,-1,0.3199916666666666,0.204125,0.16685666666666668,0.10932833333333332,0.099195,0.10050333333333332
elo_2026,resampled,0.9130799999999999,triangular,8,variance,50000,0.22146336368008968,0.4363737782379486,0.0,0.061867760769806344,4.673359303333334,71.34136200666667,0.05168,33.58014,5.159773016364189,27.0,43.0,0.2052933333333333,0.1936993811666666,0.0,0.7392033333333334,-1,0.3051483333333333,0.21099666666666664,0.16621333333333332,0.10972666666666667,0.099855,0.10806
elo_2026,resampled,0.9130799999999999,geometric,4,ev_greedy,50000,0.24698370300560044,0.42519090733042897,0.0,0.09109862517577456,12.496867013611114,125.04258311166666,0.00046,38.73764,4.597600159909515,34.0,50.0,0.31461,0.4470966944,0.00086,0.9994295093780652,-1,0.38483,0.21473,0.17131,0.0856,0.07022,0.07331
elo_2026,resampled,0.9130799999999999,geometric,4,variance,50000,0.24298056896514164,0.4307007891871954,0.0,0.0896657688457351,12.300806868055556,125.31178457999998,0.00052,38.71464,4.685706955241653,34.0,50.0,0.31567,0.451972868,0.00088,0.9993194010729441,-1,0.38478,0.22107,0.1661,0.08545,0.06911,0.07349
elo_2026,resampled,0.9130799999999999,geometric,5,ev_greedy,50000,0.2544442578765459,0.42324037044704,0.0,0.09501310035579807,13.211158918055558,126.20229459166667,0.0007,39.8235,4.712471511850231,35.0,51.0,0.31454,0.44714236160000004,0.00026,0.9991497789425251,-1,0.38488,0.21469,0.17125,0.08561,0.07034,0.07323
elo_2026,resampled,0.9130799999999999,geometric,5,variance,50000,0.24963896974123825,0.4283478057388828,0.0,0.09325626825524726,12.973465338055554,126.49553276333332,0.00082,39.76752,4.8112028693041,35.0,51.0,0.31556,0.45183717200000006,0.00028,0.998949705917657,-1,0.38485,0.22101,0.16585,0.08542,0.06929,0.07358
elo_2026,resampled,0.9130799999999999,geometric,6,ev_greedy,50000,0.24870978135451352,0.42392605500515296,0.0,0.09188681634504366,12.804512888055555,126.95586959833334,0.00076,40.51292,4.789600512944686,35.0,52.0,0.31422,0.446215376,6e-05,0.9987999279956797,-1,0.38465,0.21464,0.17126,0.08567,0.07043,0.07335
elo_2026,resampled,0.9130799999999999,geometric,6,variance,50000,0.2460820338142695,0.4310317878673258,0.0,0.09120590579237037,12.728970041388886,127.20395419,0.0008,40.47472,4.8792500367986875,35.0,52.0,0.31557,0.45177515,4e-05,0.998609944397776,-1,0.38488,0.22092,0.16584,0.0854,0.06931,0.07365
elo_2026,resampled,0.9130799999999999,geometric,8,ev_greedy,50000,0.24621712559681394,0.42462534655405393,0.0,0.09078047099498937,12.700874648888892,127.62034226333331,0.0011,41.21494,4.852564352628412,36.0,52.0,0.31410000000000005,0.44563362800000006,0.0,0.99821,-1,0.38451,0.21459,0.17128,0.08568,0.07041,0.07353
elo_2026,resampled,0.9130799999999999,geometric,8,variance,50000,0.2419391600443604,0.43010409319698945,0.0,0.08997871627467742,12.617274362222222,127.94492100666668,0.0008,41.22206,4.935579941242974,36.0,52.0,0.31538,0.45125928440000007,0.0,0.99822,-1,0.38478,0.22082,0.16587,0.08544,0.0694,0.07369
synthetic_x0.5,resampled,0.6475799999999999,linear,4,ev_greedy,50000,0.02135748115339501,0.44596773941450996,2e-05,0.0008798077411736081,0.006957862777777775,7.8964680016666655,0.16512,11.15626,1.7802591980944797,9.0,14.0,0.01583799999999999,0.0010417962639999974,0.07412,0.5966590342881007,-1,0.17696366666666666,0.16628233333333334,0.16932533333333333,0.16157466666666667,0.16112566666666667,0.16472833333333337
synthetic_x0.5,resampled,0.6475799999999999,linear,4,variance,50000,0.035882516325649365,0.4490135665844751,0.0,0.0020444201923481235,0.016303734444444447,7.971451486666667,0.16762,11.16208,1.785712763464494,9.0,14.0,0.015405999999999975,0.0007675491426666645,0.0755,0.5945599423111592,-1,0.1759983333333333,0.166786,0.16569466666666663,0.165244,0.16568466666666667,0.16059233333333334
synthetic_x0.5,resampled,0.6475799999999999,linear,5,ev_greedy,50000,0.02978308058992835,0.4455914163534079,0.0,0.0014596773847148957,0.013148994722222222,8.997447611666667,0.15994,12.61034,1.8745626381638998,10.0,16.0,0.020627000000000006,0.001956459366666668,0.03368,0.5564981924552252,-1,0.18010966666666667,0.16890633333333332,0.17035933333333333,0.16119799999999998,0.15948266666666666,0.159944
synthetic_x0.5,resampled,0.6475799999999999,linear,5,variance,50000,0.038301391814765856,0.4485806168960538,2e-05,0.002369963333962234,0.02161603555555557,9.100798066666666,0.15808,12.62774,1.877498999307323,10.0,16.0,0.026741666666666664,0.0021804969386666666,0.03302,0.5558984329217426,-1,0.17954099999999998,0.16864833333333332,0.16646,0.1670136666666667,0.16553766666666667,0.15279933333333331
synthetic_x0.5,resampled,0.6475799999999999,linear,6,ev_greedy,50000,0.01846054015228638,0.4462379357502319,0.0,0.0006868977002617632,0.006814115833333344,9.904630545,0.15044,13.84008,1.936890702543641,11.0,17.0,0.0059753333333333325,0.00016193985600000015,0.01072,0.5273872580732115,-1,0.1705036666666667,0.16452833333333336,0.16847966666666667,0.16541833333333336,0.16515533333333332,0.16591466666666668
synthetic_x0.5,resampled,0.6475799999999999,linear,6,variance,50000,0.03379446951842114,0.44822313603934183,0.0,0.0020204935962180224,0.020256526666666667,10.01454041,0.15204,13.85554,1.9386570889149013,11.0,17.0,0.009913000000000005,0.000418930529333335,0.01106,0.5279278823791129,-1,0.17016366666666666,0.16431999999999997,0.16774066666666665,0.16946333333333335,0.16806166666666664,0.16025066666666665
synthetic_x0.5,resampled,0.6475799999999999,linear,8,ev_greedy,50000,0.026087332026319337,0.4489003126752983,0.0,0.0011515906458362353,0.012568896666666673,10.960454200000001,0.14302,15.37996,1.99935749639728,13.0,19.0,0.011790666666666672,0.0006684780413333352,0.0,0.5007236666666667,-1,0.17140133333333335,0.1670513333333333,0.17298633333333333,0.16444733333333333,0.16291799999999998,0.16119566666666665
synthetic_x0.5,resampled,0.6475799999999999,linear,8,variance,50000,0.03865820947821895,0.4486851845488275,0.0,0.0025210073590957427,0.028180400000000043,11.163853036666668,0.14452,15.41652,2.0018669010700987,13.0,19.0,0.0160916666666667,0.0009887647866666707,0.0,0.49769699999999994,-1,0.171648,0.16677699999999998,0.17333733333333334,0.16690566666666665,0.1640863333333333,0.15724566666666664
